dataset,workload,strategy,ops_per_s,write_p50_us,write_p95_us,read_p50_us,read_p95_us,db_size_mb,db_size_delta_pct
ds_10k_realistic_1_25,wl_read_only_latest_hit,strategy_latest_cf,215.2126,,,4619.99,4754.83,,
ds_10k_realistic_1_25,wl_read_only_latest_hit,strategy_prefix_scan,83.4569,,,11992.27,12086.64,,
ds_10k_realistic_1_25,wl_read_only_latest_miss,strategy_latest_cf,289.7885,,,3584.53,3806.39,,
ds_10k_realistic_1_25,wl_read_only_latest_miss,strategy_prefix_scan,121.5507,,,8153.04,8841.69,,
ds_10k_realistic_1_25,wl_write_heavy_90_10,strategy_latest_cf,6.9921,142998.13,143969.67,,,,
ds_10k_realistic_1_25,wl_write_heavy_90_10,strategy_prefix_scan,13.1803,76065.21,76536.72,,,,
ds_10k_realistic_1_25,wl_write_only,strategy_latest_cf,7.1464,139825.27,142153.16,,,,
ds_10k_realistic_1_25,wl_write_only,strategy_prefix_scan,14.1937,70230.46,71462.79,,,,
ds_1k_realistic_1_25,wl_read_only_latest_hit,strategy_latest_cf,2848.2581,,,349.80,359.32,,
ds_1k_realistic_1_25,wl_read_only_latest_hit,strategy_prefix_scan,1050.3575,,,952.50,961.22,,
ds_1k_realistic_1_25,wl_read_only_latest_miss,strategy_latest_cf,3280.4711,,,299.24,333.10,,
ds_1k_realistic_1_25,wl_read_only_latest_miss,strategy_prefix_scan,1351.9792,,,742.40,773.19,,
ds_1k_realistic_1_25,wl_write_heavy_90_10,strategy_latest_cf,71.2527,14036.66,14211.43,,,,
ds_1k_realistic_1_25,wl_write_heavy_90_10,strategy_prefix_scan,131.5000,7587.57,7685.97,,,,
ds_1k_realistic_1_25,wl_write_only,strategy_latest_cf,74.3527,13469.36,13644.49,,,,
ds_1k_realistic_1_25,wl_write_only,strategy_prefix_scan,145.1054,6865.29,7050.67,,,,
ds_50k_realistic_1_25,wl_read_only_latest_hit,strategy_latest_cf,142.5425,,,7024.58,7908.08,,
ds_50k_realistic_1_25,wl_read_only_latest_hit,strategy_prefix_scan,66.2754,,,15203.33,15349.99,,
ds_50k_realistic_1_25,wl_read_only_latest_miss,strategy_latest_cf,267.4688,,,3822.29,4546.27,,
ds_50k_realistic_1_25,wl_read_only_latest_miss,strategy_prefix_scan,117.1017,,,7913.70,11160.30,,
ds_50k_realistic_1_25,wl_write_heavy_90_10,strategy_latest_cf,1.3633,735203.73,741985.51,,,,
ds_50k_realistic_1_25,wl_write_heavy_90_10,strategy_prefix_scan,2.5412,393701.99,398527.85,,,,
ds_50k_realistic_1_25,wl_write_only,strategy_latest_cf,1.3735,725350.23,740950.67,,,,
ds_50k_realistic_1_25,wl_write_only,strategy_prefix_scan,2.8045,355146.27,364925.95,,,,
